org,file_,URL,File,Lines_of_code,Require,Ensure,Include,Attribute,Hard_coded_string,Comment,Command,File_mode,SSH_KEY,defect_status
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/gerrit.pp,0,0,70,1,0,1,30,4,10,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-kafka/manifests/defaults.pp,0,0,91,0,0,0,0,36,3,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-standalone-ceph/deployment_scripts/openstack-haproxy-radosgw.pp,0,0,1,0,0,1,0,0,0,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/pmlc_neutron/manifests/server/config.pp,0,0,427,0,42,42,209,130,12,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-celebrer/deployment_scripts/puppet/manifests/server.pp,0,0,95,0,0,2,19,16,2,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-celebrer/deployment_scripts/puppet/modules/celebrer/manifests/engine.pp,0,0,60,1,2,5,6,3,22,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/client/config.pp,1,2,14,1,1,2,6,2,0,0,1,1,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/glusterfs.pp,1,4,146,6,5,15,48,31,23,4,3,3,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/nginx.pp,0,1,44,0,2,2,18,13,4,0,1,1,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/lpreports/manifests/webapp.pp,1,4,182,6,9,15,85,57,20,3,4,4,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/gerrit/replication.pp,2,0,113,1,1,2,20,14,31,0,1,1,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/ssh/manifests/known_host.pp,0,0,29,0,0,1,3,4,10,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-cinder/manifests/keystone/auth.pp,3,0,42,0,4,4,13,12,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/roles/manifests/openstack/pmlc_compute.pp,0,0,39,0,0,7,0,0,18,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-haproxy/manifests/init.pp,0,0,116,2,2,5,28,25,62,0,1,1,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-standalone-ceph/deployment_scripts/hosts.pp,0,0,1,0,0,1,0,0,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-module-keepalived/manifests/install.pp,0,0,5,0,1,1,1,0,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-kafka/manifests/client.pp,0,0,17,0,1,1,1,0,3,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/plugins.pp,0,2,76,3,4,8,24,13,16,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/static.pp,0,2,74,1,3,4,25,20,16,0,2,2,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/ssh/manifests/sshd.pp,0,1,52,1,3,6,14,10,10,0,1,1,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/roles/perestroika/builder.pp,0,0,50,2,0,2,4,2,10,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/landing_page/manifests/init.pp,3,3,294,6,9,18,123,66,34,2,3,3,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/profiles/manifests/common/sudo.pp,0,0,19,0,0,0,0,0,9,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/jenkins/master.pp,0,0,77,2,3,5,19,14,17,1,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/client.pp,0,0,3,0,0,1,0,0,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/tpi/lab.pp,0,4,92,4,3,7,33,23,7,0,4,4,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/system/manifests/init.pp,0,4,115,5,6,11,40,27,16,1,4,4,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-foreman_proxy/manifests/plugin/chef/params.pp,1,0,12,0,0,0,0,2,1,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/roles/manifests/ftp/server.pp,0,0,40,0,0,8,0,0,19,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/pmlc_nova/manifests/compute/service.pp,0,0,40,1,1,2,4,1,12,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/django/manifests/application.pp,0,4,132,2,6,11,40,11,28,0,4,4,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/racks/manifests/importer.pp,2,2,84,2,5,7,15,12,29,1,2,2,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/partnerappliance.pp,0,2,81,3,4,7,23,12,16,0,2,2,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/monitoring/mysql/server.pp,0,1,22,1,1,2,7,7,8,0,1,1,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/profiles/manifests/ssh/server.pp,0,0,28,0,0,0,2,1,13,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-external-ceph/deployment_scripts/radosgw-keystone.pp,0,0,1,0,0,1,0,0,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/roles/manifests/deploy.pp,0,0,44,0,0,10,0,0,18,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/firewall.pp,0,0,64,2,1,6,17,14,14,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/roles/ns.pp,0,5,114,7,5,12,37,36,14,2,4,4,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/mirror_npm.pp,1,3,141,5,11,16,56,38,15,1,2,2,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-standalone-ceph/deployment_scripts/ssl_keys_saving.pp,0,0,2,0,0,1,0,0,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/swift/storage-node.pp,0,0,58,1,1,2,15,8,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/mirror_rubygems.pp,1,4,106,4,9,13,44,35,14,1,2,2,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/params.pp,0,0,23,0,0,0,0,12,0,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/server/configline.pp,0,0,32,1,0,2,9,2,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/pxetool/manifests/master.pp,1,6,229,6,11,17,95,59,26,2,6,6,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/common.pp,0,4,202,5,6,11,42,34,22,3,4,4,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/jenkins/manifests/swarm_slave.pp,0,3,108,3,8,11,33,20,16,0,2,2,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-concat/manifests/setup.pp,0,1,49,0,2,2,13,5,14,0,2,2,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/tpi/manifests/vmware_lab.pp,0,1,109,6,5,11,40,25,10,1,1,1,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/partnershare.pp,0,1,81,2,3,5,28,23,12,1,1,2,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/ssh/manifests/ldap.pp,0,4,90,0,6,9,23,20,14,0,3,3,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_stats/manifests/collector.pp,1,7,247,7,8,16,90,61,26,1,7,7,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/jenkins/manifests/slave.pp,0,0,35,1,2,3,10,7,8,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/landing_page/manifests/params.pp,1,0,52,0,0,0,0,19,4,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_stats/manifests/migration.pp,0,2,90,2,3,7,27,17,11,3,2,2,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/auth_file.pp,2,1,25,0,0,0,1,4,5,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/zabbix/manifests/frontend.pp,1,5,212,5,8,17,71,47,33,0,4,4,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/nailgun_demo.pp,3,6,290,16,14,30,148,108,19,6,2,2,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/server/service.pp,0,0,9,1,1,2,5,1,0,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/roles/zabbix/server.pp,0,1,78,3,4,7,20,25,18,1,1,1,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/puppet/manifests/params.pp,0,0,89,0,0,0,0,22,49,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/manifests/site.pp,0,2,188,1,2,6,28,15,6,0,2,2,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/jenkins/slave/custom_scripts.pp,0,1,69,3,2,5,13,11,9,0,2,2,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-external-ceph/deployment_scripts/puppet/modules/external_ceph/manifests/conf.pp,0,3,46,0,3,3,9,8,0,0,2,2,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/test_file.pp,0,1,29,0,0,0,1,5,15,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-vxlan-vlan-7/deployment_scripts/configure-ml2-controller.pp,0,0,57,0,3,4,17,9,0,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/devops_tools/lpupdatebug.pp,0,3,90,4,3,7,23,26,24,0,3,3,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/controller.pp,2,0,315,0,0,0,104,42,65,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/puppet/master.pp,0,1,102,3,1,4,26,26,36,1,1,1,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/jenkins/manifests/master.pp,3,9,438,11,15,29,121,91,47,3,8,8,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-celebrer/deployment_scripts/puppet/modules/celebrer/manifests/params.pp,0,0,39,0,0,0,0,19,4,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-kafka/manifests/init.pp,0,0,21,0,1,1,1,1,13,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/roles/manifests/openstack/pmlc_controller.pp,0,0,42,0,0,9,0,0,18,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-kafka/manifests/mirror.pp,0,3,94,4,3,7,13,5,14,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-standalone-ceph/deployment_scripts/modules/ceph_override/manifests/ceph/enable_rados.pp,0,1,69,0,3,4,16,13,1,0,1,1,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/ssh/manifests/banner.pp,0,1,18,0,0,0,4,3,8,0,1,1,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-concat/spec/fixtures/manifests/site.pp,0,0,0,0,0,0,0,0,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/glance.pp,2,0,84,0,0,0,23,17,31,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-etckeeper/deployment_scripts/etckeeper_commit.pp,0,0,15,0,0,1,3,4,0,1,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/roles/mailman.pp,0,0,18,0,0,0,3,3,4,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/all.pp,2,0,385,0,0,0,126,62,59,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-celebrer/deployment_scripts/puppet/manifests/keystone.pp,0,0,35,0,0,0,7,8,1,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/jenkins/manifests/params.pp,0,0,44,0,0,0,0,5,4,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/compute.pp,2,0,242,0,0,1,65,25,16,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/zabbix/manifests/params.pp,0,0,227,0,0,0,1,129,4,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-cinder/manifests/params.pp,0,0,38,0,0,0,0,23,1,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-cinder/manifests/volume.pp,0,0,37,1,2,4,7,3,1,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/tests/cloudcontroller.pp,0,0,16,0,0,0,14,12,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/mirror.pp,0,2,151,5,5,11,54,35,24,0,1,1,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_stats/manifests/analytic.pp,3,5,290,8,12,21,103,71,30,0,5,5,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/keystone.pp,0,0,227,0,0,0,39,15,38,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/server/install.pp,0,0,6,0,1,2,1,0,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/tests/init.pp,0,0,1,0,0,1,0,0,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/examples/site.pp,0,0,151,0,0,1,65,21,22,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/roles/blackduck/server.pp,0,2,127,6,6,13,45,32,14,1,1,2,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-cinder/manifests/base.pp,0,3,56,1,3,5,18,12,5,0,1,1,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-cinder/manifests/scheduler.pp,0,0,35,1,2,4,7,3,1,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/profiles/manifests/puppet/agent.pp,0,1,46,0,1,1,19,6,12,0,2,2,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/log_storage/manifests/storage/nginx.pp,3,4,181,0,3,7,74,50,27,0,5,5,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-celebrer/deployment_scripts/puppet/modules/celebrer/manifests/keystone/auth.pp,9,0,94,0,0,0,16,13,62,0,0,1,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/pmlc_neutron/manifests/server/service.pp,0,0,109,1,1,2,8,1,12,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/roles/docs.pp,6,6,284,6,13,19,123,68,25,0,6,7,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/ssh/manifests/params.pp,0,0,49,0,0,0,0,6,14,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/solar-resources/resources/node_network_puppet/1.0.0/actions/run.pp,0,0,41,2,0,2,15,3,3,1,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/etherpad_lite/manifests/webapp.pp,2,3,168,3,7,10,66,48,32,0,3,3,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/venv/manifests/init.pp,1,0,21,0,0,0,5,4,9,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/mongodb.pp,0,0,52,0,0,0,12,6,11,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-horizon/manifests/params.pp,0,0,27,0,0,0,0,7,2,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/puppet/manifests/master.pp,0,3,161,5,8,15,67,43,11,0,2,2,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/log_storage/manifests/storage/zabbix.pp,0,0,19,1,1,2,2,2,7,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-celebrer/deployment_scripts/puppet/modules/celebrer/manifests/db.pp,0,0,91,0,1,1,10,8,37,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-celebrer/deployment_scripts/puppet/modules/celebrer/manifests/init.pp,0,0,45,0,1,4,10,7,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/roles/storage.pp,0,0,29,0,1,1,8,6,7,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-haproxy/spec/fixtures/manifests/site.pp,0,0,0,0,0,0,0,0,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/uwsgi/manifests/params.pp,0,0,39,0,0,0,0,9,4,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-cinder/manifests/client.pp,0,0,8,0,1,1,2,1,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-kafka/manifests/server/jmxtrans.pp,1,0,463,0,0,0,21,181,25,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/roles/perestroika/publisher.pp,0,0,65,2,2,4,12,4,14,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/horizon.pp,0,0,55,0,0,0,15,8,20,0,0,1,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/updates.pp,0,1,74,2,2,4,31,25,15,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/jenkins/slave.pp,2,16,1287,35,35,70,249,203,81,1,15,15,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-external-ceph/deployment_scripts/puppet/modules/external_ceph/manifests/volumes_ephemeral.pp,0,0,46,1,2,4,10,5,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/lodgeit.pp,1,3,118,2,7,9,53,39,15,0,2,2,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/devops_tools.pp,0,0,23,0,0,0,0,0,8,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/devopslib/manifests/ssl_certificate.pp,0,2,47,0,2,2,11,4,26,0,2,2,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/lab_cz.pp,0,5,92,3,7,10,42,33,7,0,6,6,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/znc.pp,0,0,30,1,1,3,7,4,8,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-standalone-ceph/deployment_scripts/mon.pp,0,0,1,0,0,1,0,0,0,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-haproxy/manifests/config.pp,0,0,78,0,0,0,8,11,61,0,1,1,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-celebrer/deployment_scripts/puppet/manifests/ha.pp,0,0,44,0,0,0,13,12,0,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-horizon/spec/fixtures/manifests/site.pp,0,0,0,0,0,0,0,0,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/mirror_pypi.pp,1,2,118,4,7,11,39,30,17,1,2,2,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/ssh/manifests/authorized_keys.pp,0,0,13,0,1,1,2,2,4,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/log_storage/manifests/logstash.pp,0,13,164,6,0,6,48,34,27,0,6,6,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-concat/manifests/init.pp,1,5,221,1,6,9,38,16,94,1,2,2,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/transmission/manifests/daemon.pp,2,2,247,2,4,7,29,58,85,2,1,1,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/uwsgi/manifests/init.pp,0,0,33,1,2,3,7,2,9,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-cinder/manifests/setup_test_volume.pp,0,0,28,0,0,1,5,4,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-cinder/manifests/db/mysql.pp,0,0,36,1,0,2,8,8,1,0,0,0,0
