PROJECT,NO_TEST,NO_ALGO,NO_ACCURACY,NO_ATTACK_CHECK
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/DmitryUlyanov@AGE,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/woozzu@dong_iccv_2017,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/geyang@grammar_variational_autoencoder,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/eriklindernoren@Keras-GAN,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/eth-sri@diffai,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/carpedm20@DCGAN-tensorflow,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/tensorlayer@DAGAN,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/caogang@wgan-gp,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/pfnet-research@chainer-gan-lib,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/orobix@Visual-Feature-Attribution-Using-Wasserstein-GANs-Pytorch,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/jhayes14@adversarial-patch,1,1,1,1
../../Data/supervised/MODELZOO//GENERATIVE_MODELS/jakezhaojb@ARAE,1,1,1,1
../../Data/supervised/MODELZOO//NATURAL_LANGUAGE_PROCESSING/jhave@pytorch-poetry-generation,1,1,1,1
../../Data/supervised/MODELZOO//NATURAL_LANGUAGE_PROCESSING/NVIDIA@vid2vid,1,1,1,1
../../Data/supervised/MODELZOO//NATURAL_LANGUAGE_PROCESSING/magic282@MXNMT,1,1,1,1
../../Data/supervised/MODELZOO//NATURAL_LANGUAGE_PROCESSING/tensorlayer@seq2seq-chatbot,1,1,1,1
../../Data/supervised/MODELZOO//NATURAL_LANGUAGE_PROCESSING/jinfagang@pytorch_chatbot,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/TuSimple@neuron-selectivity-transfer,1,1,1,1
../../Data/supervised/MODELZOO//NATURAL_LANGUAGE_PROCESSING/salesforce@nonauto-nmt,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/utkuozbulak@pytorch-cnn-adversarial-attacks,1,1,1,1
../../Data/supervised/MODELZOO//NATURAL_LANGUAGE_PROCESSING/EdGENetworks@attention-networks-for-classification,1,1,1,1
../../Data/supervised/MODELZOO//NATURAL_LANGUAGE_PROCESSING/MaximumEntropy@Seq2Seq-PyTorch,1,1,1,1
../../Data/supervised/MODELZOO//AUDIO_SPEECH/r9y9@tacotron_pytorch,1,1,1,1
../../Data/supervised/MODELZOO//AUDIO_SPEECH/awni@speech,1,1,1,1
../../Data/supervised/MODELZOO//AUDIO_SPEECH/r9y9@deepvoice3_pytorch,1,1,1,1
../../Data/supervised/MODELZOO//AUDIO_SPEECH/NVIDIA@waveglow,1,1,1,1
../../Data/supervised/MODELZOO//AUDIO_SPEECH/deepsound-project@samplernn-pytorch,1,1,1,1
../../Data/supervised/MODELZOO//AUDIO_SPEECH/astorfi@lip-reading-deeplearning,1,1,1,1
../../Data/supervised/MODELZOO//AUDIO_SPEECH/jocicmarko@ultrasound-nerve-segmentation,1,1,1,1
../../Data/supervised/MODELZOO//AUDIO_SPEECH/jiesutd@NCRFpp,1,1,1,1
../../Data/supervised/MODELZOO//AUDIO_SPEECH/pannous@caffe-speech-recognition,1,1,1,1
../../Data/supervised/MODELZOO//NATURAL_LANGUAGE_PROCESSING/facebookresearch@translagent,1,1,1,1
../../Data/supervised/MODELZOO//AUDIO_SPEECH/npuichigo@waveglow,1,1,1,1
../../Data/supervised/MODELZOO//AUDIO_SPEECH/mlachmish@MusicGenreClassification,1,1,1,1
../../Data/supervised/MODELZOO//AUDIO_SPEECH/samsungsds-rnd@deepspeech.mxnet,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/zhreshold@mxnet-ssd,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/mitmul@chainer-imagenet-vgg,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/jiny2001@dcscn-super-resolution,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/abbypa@NNProject_DeepMask,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/jinfagang@pytorch_image_classifier,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/facebookresearch@FaderNetworks,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/WillSuen@VQA,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/atiyo@deep_image_prior,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/jtoy@sketchnet,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/bodokaiser@piwise,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/jcjohnson@pytorch-vgg,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/liangfu@mxnet-mobilenet-v2,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/miraclewkf@multilabel-MXNet,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/bengxy@FastNeuralStyle,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/truskovskiyk@nima.pytorch,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/Hi-king@chainer_superresolution,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/Ben-Louis@Deep-Image-Analogy-PyTorch,1,1,1,1
../../Data/supervised/MODELZOO//COMPUTER_VISION/NVIDIA@semantic-segmentation,1,1,1,1
